round,cosine_sim
0.0000,0.3280
1.0000,0.5803
2.0000,0.0402
3.0000,0.0261
4.0000,0.0205
5.0000,0.0195
6.0000,0.0195
7.0000,0.0161
8.0000,0.0174
9.0000,0.0151
10.0000,0.1860
11.0000,0.0155
12.0000,0.0135
13.0000,0.0099
14.0000,0.0105
15.0000,0.0091
16.0000,0.0110
17.0000,0.0084
18.0000,0.0114
19.0000,0.0109
20.0000,0.1722
21.0000,0.0090
22.0000,0.0087
23.0000,0.0086
24.0000,0.0057
25.0000,0.0075
26.0000,0.0097
27.0000,0.0085
28.0000,0.0083
29.0000,0.0090
30.0000,0.1260
31.0000,0.0079
32.0000,0.0073
33.0000,0.0070
34.0000,0.0061
35.0000,0.0070
36.0000,0.0089
37.0000,0.0067
38.0000,0.0071
39.0000,0.0073
40.0000,0.5715
41.0000,0.0051
42.0000,0.0065
43.0000,0.0059
44.0000,0.0045
45.0000,0.0043
46.0000,0.0055
47.0000,0.0054
48.0000,0.0044
49.0000,0.0058
50.0000,0.1441
51.0000,0.0062
52.0000,0.0071
53.0000,0.0040
54.0000,0.0050
55.0000,0.0038
56.0000,0.0043
57.0000,0.0063
58.0000,0.0035
59.0000,0.0035
60.0000,0.1687
61.0000,0.0045
62.0000,0.0042
63.0000,0.0031
64.0000,0.0031
65.0000,0.0041
66.0000,0.0042
67.0000,0.0038
68.0000,0.0030
69.0000,0.0040
70.0000,0.0554
71.0000,0.0035
72.0000,0.0034
73.0000,0.0030
74.0000,0.0034
75.0000,0.0034
76.0000,0.0033
77.0000,0.0039
78.0000,0.0026
79.0000,0.0032
80.0000,0.0354
81.0000,0.0029
82.0000,0.0028
83.0000,0.0035
84.0000,0.0034
85.0000,0.0034
86.0000,0.0031
87.0000,0.0022
88.0000,0.0024
89.0000,0.0025
90.0000,0.0338
91.0000,0.0021
92.0000,0.0024
93.0000,0.0017
94.0000,0.0030
95.0000,0.0029
96.0000,0.0039
97.0000,0.0022
98.0000,0.0019
99.0000,0.0021
