client,round,loss
4,0,4.304
4,1,4.103
4,2,3.511
4,3,3.049
4,4,2.733
4,5,2.555
4,6,2.376
4,7,2.231
4,8,2.147
4,9,2.008
4,10,1.898
4,11,1.817
4,12,1.751
4,13,1.707
4,14,1.579
4,15,1.633
4,16,1.596
4,17,1.52
4,18,1.508
4,19,1.359
4,20,1.321
4,21,1.238
4,22,1.187
4,23,1.14
4,24,1.073
4,25,1.067
4,26,1.044
4,27,1.0
4,28,0.973
4,29,0.919
4,30,0.899
4,31,0.866
4,32,0.847
4,33,0.809
4,34,0.806
4,35,0.763
4,36,0.748
4,37,0.72
4,38,0.753
4,39,0.713
4,40,0.703
4,41,0.692
4,42,0.616
4,43,0.608
4,44,0.559
4,45,0.524
4,46,0.491
4,47,0.506
4,48,0.5
4,49,0.487
4,50,0.519
4,51,0.496
4,52,0.418
4,53,0.406
4,54,0.42
4,55,0.396
4,56,0.376
4,57,0.378
4,58,0.36
4,59,0.356
4,60,0.367
4,61,0.361
4,62,0.35
4,63,0.324
4,64,0.302
4,65,0.305
4,66,0.314
4,67,0.299
4,68,0.295
4,69,0.299
4,70,0.268
4,71,0.281
4,72,0.267
4,73,0.263
4,74,0.257
4,75,0.26
4,76,0.237
4,77,0.235
4,78,0.213
4,79,0.227
4,80,0.226
4,81,0.206
4,82,0.214
4,83,0.196
4,84,0.236
4,85,0.284
4,86,0.343
4,87,0.498
4,88,0.363
4,89,0.266
4,90,0.196
4,91,0.152
4,92,0.162
4,93,0.139
4,94,0.182
4,95,0.16
4,96,0.16
4,97,0.174
4,98,0.155
4,99,0.167
