timestamp,dataset,rank1,mAP,loss
2025-07-29 22:50:09,0,0.4000,0.2787,0.0000
2025-07-29 22:50:33,1,0.4000,0.3027,0.0000
2025-07-29 22:50:56,2,0.3667,0.2623,0.0000
2025-07-29 22:51:21,3,0.3667,0.2697,0.0000
2025-07-29 22:51:44,4,0.5167,0.3141,0.0000
2025-07-29 23:50:35,0,0.5000,0.3644,0.0000
2025-07-29 23:50:59,1,0.4000,0.2569,0.0000
2025-07-29 23:51:24,2,0.5167,0.3374,0.0000
2025-07-29 23:51:48,3,0.4667,0.3400,0.0000
2025-07-29 23:52:13,4,0.5500,0.3723,0.0000
2025-07-30 00:48:54,0,0.5333,0.3754,0.0000
2025-07-30 00:49:19,1,0.4000,0.3059,0.0000
2025-07-30 00:49:43,2,0.5000,0.3367,0.0000
2025-07-30 00:50:09,3,0.5167,0.4008,0.0000
2025-07-30 00:50:33,4,0.5500,0.3807,0.0000
2025-07-30 01:47:34,0,0.5500,0.4267,0.0000
2025-07-30 01:47:58,1,0.4167,0.3091,0.0000
2025-07-30 01:48:23,2,0.5000,0.3725,0.0000
2025-07-30 01:48:48,3,0.4667,0.3870,0.0000
2025-07-30 01:49:13,4,0.5667,0.4157,0.0000
2025-07-30 02:45:49,0,0.4333,0.2839,0.0000
2025-07-30 02:46:14,1,0.5167,0.3728,0.0000
2025-07-30 02:46:38,2,0.4333,0.2577,0.0000
2025-07-30 02:47:02,3,0.4333,0.2506,0.0000
2025-07-30 02:47:25,4,0.4167,0.2656,0.0000
2025-07-30 03:43:57,0,0.6000,0.4530,0.0000
2025-07-30 03:44:23,1,0.4000,0.3050,0.0000
2025-07-30 03:44:47,2,0.5333,0.3790,0.0000
2025-07-30 03:45:12,3,0.5500,0.4167,0.0000
2025-07-30 03:45:37,4,0.6167,0.4318,0.0000
2025-07-30 04:42:06,0,0.5500,0.4059,0.0000
2025-07-30 04:42:31,1,0.4500,0.2999,0.0000
2025-07-30 04:42:55,2,0.4833,0.3425,0.0000
2025-07-30 04:43:20,3,0.6167,0.4599,0.0000
2025-07-30 04:43:44,4,0.5667,0.4094,0.0000
2025-07-30 05:40:26,0,0.5667,0.4125,0.0000
2025-07-30 05:40:50,1,0.4500,0.3241,0.0000
2025-07-30 05:41:15,2,0.4833,0.3735,0.0000
2025-07-30 05:41:39,3,0.5333,0.3946,0.0000
2025-07-30 05:42:03,4,0.5833,0.4307,0.0000
2025-07-30 06:38:38,0,0.5500,0.4021,0.0000
2025-07-30 06:39:03,1,0.5000,0.3184,0.0000
2025-07-30 06:39:27,2,0.5167,0.3711,0.0000
2025-07-30 06:39:51,3,0.5667,0.3931,0.0000
2025-07-30 06:40:16,4,0.5833,0.4331,0.0000
2025-07-30 07:36:57,0,0.6167,0.4174,0.0000
2025-07-30 07:37:22,1,0.4667,0.3166,0.0000
2025-07-30 07:37:46,2,0.5333,0.3755,0.0000
2025-07-30 07:38:11,3,0.5500,0.3928,0.0000
2025-07-30 07:38:35,4,0.6167,0.4316,0.0000
2025-07-30 08:35:39,0,0.5833,0.4369,0.0000
2025-07-30 08:36:03,1,0.5167,0.3196,0.0000
2025-07-30 08:36:27,2,0.5667,0.4138,0.0000
2025-07-30 08:36:52,3,0.5333,0.3985,0.0000
2025-07-30 08:37:17,4,0.5667,0.4072,0.0000
