round,cosine_ensemble_sim
1.0000,0.1410
2.0000,0.1311
3.0000,0.1608
4.0000,0.1428
5.0000,0.2130
6.0000,0.2499
7.0000,0.2171
8.0000,0.2790
9.0000,0.2189
10.0000,0.1982
11.0000,0.1883
12.0000,0.1749
13.0000,0.2366
14.0000,0.3474
15.0000,0.5040
16.0000,0.4942
17.0000,0.3942
18.0000,0.3052
19.0000,0.2793
20.0000,0.2623
21.0000,0.2129
22.0000,0.2106
23.0000,0.1687
24.0000,0.1742
25.0000,0.1960
26.0000,0.2494
27.0000,0.2522
28.0000,0.2020
29.0000,0.1716
30.0000,0.1377
31.0000,0.1423
32.0000,0.1462
33.0000,0.2013
34.0000,0.3187
35.0000,0.4924
36.0000,0.5428
37.0000,0.5628
38.0000,0.5721
39.0000,0.5134
40.0000,0.3727
41.0000,0.2315
42.0000,0.1449
43.0000,0.1383
44.0000,0.1446
45.0000,0.1761
46.0000,0.1850
47.0000,0.1436
48.0000,0.1941
49.0000,0.2089
50.0000,0.3252
51.0000,0.4982
52.0000,0.4215
53.0000,0.2629
54.0000,0.1747
55.0000,0.1072
56.0000,0.1308
57.0000,0.1552
58.0000,0.1818
59.0000,0.2024
60.0000,0.1716
61.0000,0.1300
62.0000,0.1271
63.0000,0.1341
64.0000,0.1461
65.0000,0.1530
66.0000,0.1713
67.0000,0.1413
68.0000,0.1207
