round,cosine_sim
0.0000,0.3506
1.0000,0.2722
2.0000,0.0000
3.0000,0.0001
4.0000,0.0001
5.0000,0.0001
6.0000,0.0001
7.0000,0.0001
8.0000,0.0001
9.0000,0.0002
10.0000,0.1444
11.0000,0.0001
12.0000,0.0002
13.0000,0.0002
14.0000,0.0002
15.0000,0.0003
16.0000,0.0002
17.0000,0.0004
18.0000,0.0002
19.0000,0.0003
20.0000,0.2551
21.0000,0.0005
22.0000,0.0002
23.0000,0.0003
24.0000,0.0003
25.0000,0.0003
26.0000,0.0003
27.0000,0.0003
28.0000,0.0002
29.0000,0.0003
30.0000,0.1977
31.0000,0.0003
32.0000,0.0003
33.0000,0.0005
34.0000,0.0002
35.0000,0.0005
36.0000,0.0002
37.0000,0.0002
38.0000,0.0005
39.0000,0.0003
40.0000,0.2496
41.0000,0.0002
42.0000,0.0002
43.0000,0.0017
44.0000,0.0003
45.0000,0.0003
46.0000,0.0002
47.0000,0.0007
48.0000,0.0002
49.0000,0.0003
50.0000,0.5881
51.0000,0.0004
52.0000,0.0004
53.0000,0.0002
54.0000,0.0003
55.0000,0.0004
56.0000,0.0006
57.0000,0.0003
58.0000,0.0003
59.0000,0.0003
60.0000,0.2623
61.0000,0.0001
62.0000,0.0008
63.0000,0.0003
64.0000,0.0006
65.0000,0.0002
66.0000,0.0002
67.0000,0.0005
68.0000,0.0004
