client,round,loss
2,0,1.361
2,1,1.453
2,2,1.46
2,3,1.368
2,4,1.307
2,5,1.255
2,6,1.132
2,7,1.1
2,8,1.082
2,9,1.049
2,10,1.024
2,11,0.935
2,12,0.907
2,13,0.895
2,14,0.879
2,15,0.9
2,16,0.819
2,17,0.905
2,18,0.779
2,19,0.839
2,20,0.797
2,21,0.846
2,22,0.7
2,23,0.606
2,24,0.639
2,25,0.668
2,26,0.72
2,27,0.602
2,28,0.618
2,29,0.597
2,30,0.608
2,31,0.563
2,32,0.571
2,33,0.609
2,34,0.779
2,35,0.667
2,36,0.724
2,37,0.681
2,38,0.68
2,39,0.648
2,40,0.542
2,41,0.506
2,42,0.409
2,43,0.522
2,44,0.429
2,45,0.511
2,46,0.555
2,47,0.506
2,48,0.419
2,49,0.435
2,50,0.509
2,51,0.536
2,52,0.492
2,53,0.505
2,54,0.461
2,55,0.529
2,56,0.386
2,57,0.479
2,58,0.394
2,59,0.383
2,60,0.388
2,61,0.333
2,62,0.466
2,63,0.419
2,64,0.438
2,65,0.346
2,66,0.37
2,67,0.347
2,68,0.364
