client,round,loss
0,0,2.153
0,1,2.294
0,2,1.925
0,3,1.61
0,4,1.36
0,5,1.275
0,6,1.047
0,7,1.017
0,8,0.914
0,9,0.866
0,10,0.792
0,11,0.853
0,12,0.946
0,13,1.041
0,14,0.984
0,15,0.928
0,16,0.653
0,17,0.647
0,18,0.686
0,19,0.836
0,20,0.719
0,21,0.895
0,22,0.837
0,23,0.818
0,24,0.912
0,25,0.839
0,26,0.751
0,27,0.594
0,28,0.63
0,29,0.532
0,30,0.64
0,31,0.431
0,32,0.43
0,33,0.426
0,34,0.393
0,35,0.429
0,36,0.55
0,37,0.667
0,38,0.617
0,39,0.667
0,40,0.693
0,41,0.715
0,42,0.78
0,43,0.907
0,44,0.928
0,45,0.717
0,46,0.705
0,47,0.596
0,48,0.59
0,49,0.727
0,0,2.153
0,1,2.306
0,2,1.988
0,3,1.707
0,4,1.44
0,5,1.411
0,6,1.178
0,7,1.143
0,8,1.028
0,9,1.022
0,10,0.943
0,11,0.947
0,12,1.024
0,13,1.139
0,14,1.028
0,15,0.985
0,16,0.73
0,17,0.71
0,18,0.733
0,19,0.859
0,20,0.739
0,21,0.948
0,22,0.928
0,23,0.887
0,24,0.989
0,25,0.844
0,26,0.771
0,27,0.593
0,28,0.722
0,29,0.578
0,30,0.575
0,31,0.441
0,32,0.501
0,33,0.468
0,34,0.399
0,35,0.438
0,36,0.558
0,37,0.551
0,38,0.553
0,39,0.579
0,40,0.614
0,41,0.597
0,42,0.63
0,43,0.745
0,44,0.752
0,45,0.53
0,46,0.544
0,47,0.515
0,48,0.472
0,49,0.577
