cosine_sim,student_norm,teacher_norm
0.4674,27.8325,27.6584
0.6746,27.8985,48.2280
0.6329,27.7623,44.0252
0.7483,27.8591,36.9144
0.7729,27.4818,30.7038
0.6581,27.3593,38.6882
0.7433,27.7338,31.8585
0.7602,27.8358,28.0070
0.7365,27.6331,35.0213
0.6285,27.4478,40.9145
0.6136,27.5045,39.0641
0.7558,27.2847,41.8906
0.8154,27.4751,35.2741
0.7667,27.5210,35.7719
0.7277,27.5505,41.2429
0.6960,27.5679,38.0918
0.6612,27.7973,33.3782
0.5295,27.9056,37.1165
0.6429,27.4768,44.9486
0.6380,27.4734,41.7662
0.7099,27.6391,40.1045
0.7385,27.6716,37.2678
0.7491,27.8471,37.6703
0.7901,27.5740,37.3032
0.7158,27.7096,38.7497
0.7326,27.4776,36.6846
0.6984,27.6765,33.9287
0.7663,28.2229,31.6711
0.7845,27.4420,35.6554
0.8239,27.3261,31.2328
0.7909,27.3521,27.9464
0.7808,27.2108,30.4798
0.7769,27.6286,40.9185
0.7997,27.3647,37.6979
0.6979,27.6344,39.0145
0.7350,27.5272,32.2732
0.8425,27.5964,34.8752
0.8708,27.4748,33.3317
0.7838,27.1051,33.0931
0.7784,27.2605,34.2505
0.4683,27.8277,27.8375
0.6749,27.9933,49.3150
0.6278,27.8954,44.6502
0.7490,27.7745,38.0872
0.7696,27.6337,31.7206
0.6570,27.3670,38.8173
0.7524,27.7025,33.9657
0.7694,27.7538,27.8143
0.7411,27.7282,37.2017
0.6410,27.4988,43.8197
0.6332,27.6992,41.6208
0.7609,27.4390,40.7666
0.7994,27.5663,36.2924
0.7694,27.6792,39.1304
0.7233,27.6471,43.1624
0.6916,27.5119,40.9771
0.6582,27.9176,36.6587
0.5443,27.8895,37.3157
0.6730,27.5804,46.0563
0.6662,27.5119,41.8576
0.7041,27.6892,45.3370
0.7245,27.9063,40.1523
0.7589,27.9940,42.7026
0.7888,27.5784,38.4637
0.7123,27.7405,43.6281
0.7066,27.5912,40.6554
0.6890,27.9469,39.0790
0.7585,28.2720,34.3199
0.7717,27.6895,36.7928
0.8182,27.4654,31.5601
0.7918,27.4139,27.9822
0.7764,27.3419,32.1716
0.7620,27.8347,39.6344
0.8046,27.4442,41.6247
0.7185,27.7148,43.1146
0.7404,27.6852,35.1789
0.8294,27.3989,34.0343
0.8617,27.4209,33.4888
0.7941,27.1243,33.4832
0.7712,27.4734,33.8952
