timestamp,dataset,rank1,mAP,loss
2025-07-29 09:30:02,0,0.6250,0.2749,0.0000
2025-07-29 09:30:26,1,0.6250,0.2846,0.0000
2025-07-29 09:30:49,2,0.5750,0.2811,0.0000
2025-07-29 09:31:13,3,0.6500,0.2862,0.0000
2025-07-29 09:37:10,0,0.5250,0.2723,0.0000
2025-07-29 09:37:34,1,0.5000,0.2810,0.0000
2025-07-29 09:37:58,2,0.5750,0.2529,0.0000
2025-07-29 09:38:22,3,0.5750,0.2685,0.0000
2025-07-29 09:42:44,0,0.6250,0.3376,0.0000
2025-07-29 09:43:11,1,0.5500,0.2517,0.0000
2025-07-29 09:43:34,2,0.6000,0.3151,0.0000
2025-07-29 09:43:58,3,0.6500,0.3378,0.0000
2025-07-29 09:48:20,0,0.7000,0.3291,0.0000
2025-07-29 09:48:44,1,0.5500,0.2466,0.0000
2025-07-29 09:49:08,2,0.6750,0.3212,0.0000
2025-07-29 09:49:32,3,0.6750,0.3257,0.0000
2025-07-29 09:53:54,0,0.6250,0.3432,0.0000
2025-07-29 09:54:19,1,0.5500,0.2682,0.0000
2025-07-29 09:54:42,2,0.6250,0.3075,0.0000
2025-07-29 09:55:07,3,0.6250,0.3387,0.0000
2025-07-29 09:59:28,0,0.5500,0.3425,0.0000
2025-07-29 09:59:53,1,0.4750,0.2351,0.0000
2025-07-29 10:00:18,2,0.6000,0.3023,0.0000
2025-07-29 10:00:42,3,0.6750,0.3457,0.0000
2025-07-29 10:32:43,0,0.6250,0.2749,0.0000
2025-07-29 10:33:10,1,0.6250,0.2846,0.0000
2025-07-29 10:33:34,2,0.5750,0.2811,0.0000
2025-07-29 10:33:58,3,0.6500,0.2862,0.0000
2025-07-29 10:39:54,0,0.5250,0.2661,0.0000
2025-07-29 10:40:18,1,0.4750,0.2760,0.0000
2025-07-29 10:40:42,2,0.6000,0.2508,0.0000
2025-07-29 10:41:06,3,0.5250,0.2830,0.0000
2025-07-29 10:45:27,0,0.6500,0.3265,0.0000
2025-07-29 10:45:50,1,0.5500,0.2629,0.0000
2025-07-29 10:46:14,2,0.6500,0.3163,0.0000
2025-07-29 10:46:38,3,0.6750,0.3302,0.0000
2025-07-29 10:51:01,0,0.7000,0.3298,0.0000
2025-07-29 10:51:26,1,0.5250,0.2479,0.0000
2025-07-29 10:51:50,2,0.6500,0.3101,0.0000
2025-07-29 10:52:14,3,0.6250,0.3324,0.0000
2025-07-29 10:56:38,0,0.6000,0.3254,0.0000
2025-07-29 10:57:02,1,0.5500,0.2674,0.0000
2025-07-29 10:57:26,2,0.6500,0.3072,0.0000
2025-07-29 10:57:50,3,0.6500,0.3212,0.0000
2025-07-29 11:02:11,0,0.7000,0.3350,0.0000
2025-07-29 11:02:35,1,0.5500,0.2581,0.0000
2025-07-29 11:03:00,2,0.6750,0.3123,0.0000
2025-07-29 11:03:27,3,0.6500,0.3324,0.0000
