client,round,loss
1,0,1.53
1,1,1.274
1,2,1.087
1,3,1.011
1,4,0.842
1,5,0.712
1,6,0.635
1,7,0.689
1,8,0.532
1,9,0.519
1,10,0.491
1,11,0.476
1,12,0.453
1,13,0.485
1,14,0.38
1,15,0.407
1,16,0.472
1,17,0.39
1,18,0.275
1,19,0.318
1,20,0.364
1,21,0.302
1,22,0.479
1,23,0.377
1,24,0.248
1,25,0.172
1,26,0.194
1,27,0.313
1,28,0.275
1,29,0.264
1,30,0.416
1,31,0.305
1,32,0.261
1,33,0.306
1,34,0.185
1,35,0.169
1,36,0.336
1,37,0.448
1,38,0.38
1,39,0.251
1,40,0.281
1,41,0.235
1,42,0.289
1,43,0.126
1,44,0.281
1,45,0.219
1,46,0.083
1,47,0.142
1,48,0.143
1,49,0.309
1,0,1.53
1,1,1.275
1,2,1.088
1,3,0.995
1,4,0.848
1,5,0.705
1,6,0.628
1,7,0.72
1,8,0.553
1,9,0.516
1,10,0.501
1,11,0.471
1,12,0.443
1,13,0.53
1,14,0.412
1,15,0.453
1,16,0.524
1,17,0.415
1,18,0.257
1,19,0.309
1,20,0.332
1,21,0.331
1,22,0.439
1,23,0.362
1,24,0.308
1,25,0.144
1,26,0.201
1,27,0.355
1,28,0.291
1,29,0.295
1,30,0.39
1,31,0.307
1,32,0.217
1,33,0.281
1,34,0.197
1,35,0.127
1,36,0.278
1,37,0.384
1,38,0.355
1,39,0.171
1,40,0.26
1,41,0.181
1,42,0.347
1,43,0.106
1,44,0.255
1,45,0.199
1,46,0.086
1,47,0.173
1,48,0.159
1,49,0.25
