timestamp,dataset,rank1,mAP,loss
2025-07-27 16:42:32,0,0.6000,0.4036,0.0000
2025-07-27 16:44:26,0,0.9000,0.7879,0.0000
2025-07-27 16:46:30,0,0.9500,0.8259,0.0000
2025-07-27 16:48:16,0,0.9000,0.8521,0.0000
2025-07-27 16:50:17,0,0.9500,0.8690,0.0000
2025-07-27 16:52:49,0,0.9500,0.8841,0.0000
2025-07-27 16:54:19,0,0.9500,0.8650,0.0000
2025-07-27 16:56:38,0,0.9500,0.8796,0.0000
2025-07-27 16:58:24,0,0.9500,0.8995,0.0000
2025-07-27 17:00:53,0,0.9500,0.8911,0.0000
2025-07-27 17:02:55,0,0.9500,0.9058,0.0000
