client,round,loss
0,0,2.505
0,1,1.523
0,2,0.956
0,3,0.661
0,4,0.476
0,5,0.36
0,6,0.265
0,7,0.235
0,8,0.192
0,9,0.159
0,10,0.165
0,11,0.126
0,12,0.109
0,13,0.1
0,14,0.086
0,15,0.078
0,16,0.058
0,17,0.067
0,18,0.053
0,19,0.052
0,20,0.051
0,21,0.042
0,22,0.037
0,23,0.031
0,24,0.037
0,25,0.033
0,26,0.028
0,27,0.029
0,28,0.025
0,29,0.031
0,30,0.027
0,31,0.023
0,32,0.023
0,33,0.021
0,34,0.023
0,35,0.021
0,36,0.021
0,37,0.021
0,38,0.029
0,39,0.019
0,40,0.016
0,41,0.016
0,42,0.016
0,43,0.02
0,44,0.015
0,45,0.016
0,46,0.013
0,47,0.013
0,48,0.013
0,49,0.017
0,50,0.012
0,51,0.01
0,52,0.012
0,53,0.012
0,54,0.01
0,55,0.012
0,56,0.01
0,57,0.01
0,58,0.01
0,59,0.013
0,60,0.011
0,61,0.013
0,62,0.01
0,63,0.012
0,64,0.008
0,65,0.012
0,66,0.01
0,67,0.01
0,68,0.01
0,69,0.011
0,70,0.008
0,71,0.012
0,72,0.006
0,73,0.008
0,74,0.007
0,75,0.008
0,76,0.01
0,77,0.006
0,78,0.008
0,79,0.006
0,80,0.007
0,81,0.007
0,82,0.008
0,83,0.006
0,84,0.007
0,85,0.007
0,86,0.006
0,87,0.005
0,88,0.008
0,89,0.007
0,90,0.006
0,91,0.006
0,92,0.007
0,93,0.011
0,94,0.005
0,95,0.007
0,96,0.007
0,97,0.008
0,98,0.007
0,99,0.006
