client,round,loss
0,0,3.22
0,1,2.989
0,2,2.752
0,3,2.509
0,4,2.277
0,5,2.409
0,6,2.236
0,7,2.057
0,8,1.938
0,9,1.811
0,10,1.662
0,11,1.568
0,12,1.438
0,13,1.371
0,14,1.273
0,15,1.209
0,16,1.134
0,17,1.09
0,18,1.003
0,19,0.974
0,20,0.919
0,21,0.839
0,22,0.821
0,23,0.752
0,24,0.666
0,25,0.658
0,26,0.641
0,27,0.596
0,28,0.575
0,29,0.542
0,30,0.524
0,31,0.502
0,32,0.474
0,33,0.483
0,34,0.454
0,35,0.484
0,36,0.48
0,37,0.472
0,38,0.483
0,39,0.5
0,40,0.42
0,41,0.415
0,42,0.342
0,43,0.343
0,44,0.335
0,45,0.334
0,46,0.304
0,47,0.298
0,48,0.303
0,49,0.31
0,50,0.335
0,51,0.363
0,52,0.347
0,53,0.305
0,54,0.294
0,55,0.249
0,56,0.258
0,57,0.262
0,58,0.285
0,59,0.313
0,60,0.302
0,61,0.287
0,62,0.241
0,63,0.237
0,64,0.238
0,65,0.23
0,66,0.242
0,67,0.266
0,68,0.249
0,69,0.233
0,70,0.237
0,71,0.235
0,72,0.246
0,73,0.239
0,74,0.26
0,75,0.272
0,76,0.274
0,77,0.283
0,78,0.323
0,79,0.374
0,80,0.314
0,81,0.303
0,82,0.28
0,83,0.253
0,84,0.25
0,85,0.26
0,86,0.236
0,87,0.226
0,88,0.239
0,89,0.215
0,90,0.232
0,91,0.267
0,92,0.293
0,93,0.291
0,94,0.269
0,95,0.242
0,96,0.216
0,97,0.193
0,98,0.191
0,99,0.213
