cosine_sim,student_norm,teacher_norm
0.9084,29.5062,29.8252
0.9369,29.2803,29.4488
0.9272,29.3084,27.5347
0.9431,29.4414,28.4588
0.9378,29.2608,28.6797
0.9171,29.3820,28.6778
0.9506,29.3838,28.4029
0.9509,29.5030,28.0219
0.9373,29.4797,29.0680
0.9358,29.2584,28.2596
0.9375,29.2946,28.2667
0.9479,29.5238,28.3225
0.9431,29.3392,29.5737
0.9510,29.3134,28.7415
0.9425,29.3190,29.6216
0.9416,29.4198,28.5766
0.9233,29.2579,29.4647
0.9358,29.3475,28.9701
0.9399,29.3169,29.3598
0.9244,29.4021,29.6499
0.9180,29.2863,29.6280
0.9022,29.1751,28.5761
0.8926,29.2797,29.6471
0.9121,29.3021,28.3547
0.8773,29.2027,28.5832
0.9245,29.2073,29.0191
0.9135,29.1376,28.1121
0.9234,29.3548,29.1442
0.9255,29.3119,28.5652
0.9203,29.2241,28.2406
0.8917,29.3251,29.2941
0.9102,29.2358,28.8524
0.9050,29.3128,28.0917
0.8989,29.1470,28.9118
0.9203,29.1417,27.9661
0.9397,29.1332,28.5407
0.9335,29.1554,27.7324
0.9345,29.2964,28.7104
0.9507,29.2957,29.1297
0.9206,29.0636,27.9417
0.9401,29.1809,28.0375
0.9393,29.2609,29.2204
0.9369,29.2689,28.4923
0.9377,29.1087,28.1133
0.9273,29.0223,27.6179
0.9405,29.2114,27.8030
0.9222,29.1057,28.5281
0.9387,29.1083,27.9659
0.9213,29.1476,29.3086
0.8817,28.7730,27.4956
0.8844,28.9660,27.2345
0.9214,29.0253,28.7421
0.9474,29.1838,28.7262
0.9372,29.1280,28.2357
0.9497,29.3156,29.3493
0.9500,29.1056,27.9941
0.9481,29.0499,28.3254
0.9401,29.1021,28.2615
0.9358,29.1731,28.5454
0.9179,29.2532,29.0350
0.9164,28.9239,27.7769
0.8849,28.8187,28.0054
0.9149,29.1506,27.0921
0.9231,29.0891,29.1978
0.9102,28.8855,27.8894
0.9101,29.1372,28.5916
0.8928,28.9340,27.7708
0.9327,29.0310,28.5690
