timestamp,dataset,rank1,mAP,loss
2025-07-27 19:06:11,1,0.5500,0.3561,0.0000
2025-07-27 19:07:53,1,0.8500,0.6939,0.0000
2025-07-27 19:09:54,1,0.9000,0.8051,0.0000
2025-07-27 19:12:08,1,0.9500,0.8332,0.0000
2025-07-27 19:14:04,1,0.9500,0.8427,0.0000
2025-07-27 19:15:54,1,0.9500,0.8476,0.0000
2025-07-27 19:18:30,1,0.9500,0.8489,0.0000
2025-07-27 19:20:21,1,0.9500,0.8583,0.0000
2025-07-27 19:23:08,1,0.9500,0.8687,0.0000
2025-07-27 19:24:42,1,0.9500,0.8711,0.0000
2025-07-27 19:26:52,1,0.9500,0.8728,0.0000
