timestamp,dataset,rank1,mAP,loss
2025-07-27 19:05:17,0,0.3500,0.3130,0.0000
2025-07-27 19:08:09,0,0.9000,0.6830,0.0000
2025-07-27 19:10:10,0,0.9000,0.8251,0.0000
2025-07-27 19:12:24,0,0.9500,0.8356,0.0000
2025-07-27 19:14:35,0,0.9500,0.8487,0.0000
2025-07-27 19:16:48,0,0.9000,0.8394,0.0000
2025-07-27 19:19:01,0,0.9500,0.8649,0.0000
2025-07-27 19:21:13,0,0.9500,0.8576,0.0000
2025-07-27 19:23:23,0,0.9500,0.8686,0.0000
2025-07-27 19:25:33,0,0.9500,0.8748,0.0000
2025-07-27 19:27:46,0,0.9500,0.8656,0.0000
