round,cosine_sim
0.0000,0.4335
1.0000,0.5226
2.0000,0.2768
3.0000,0.1164
4.0000,0.1031
5.0000,0.0489
6.0000,0.0879
7.0000,0.0238
8.0000,0.0190
9.0000,0.0386
10.0000,0.2089
11.0000,0.0207
12.0000,0.0300
13.0000,0.0057
14.0000,0.0103
15.0000,0.0077
16.0000,0.0084
17.0000,0.0050
18.0000,0.0018
19.0000,0.0010
20.0000,0.1340
21.0000,0.0299
22.0000,0.0024
23.0000,0.0202
24.0000,0.0060
25.0000,0.0058
26.0000,0.0033
27.0000,0.0111
28.0000,0.0112
29.0000,0.0012
30.0000,0.0560
31.0000,0.0079
32.0000,0.0058
33.0000,0.0182
34.0000,0.0104
35.0000,0.0038
36.0000,0.0017
37.0000,0.0019
38.0000,0.0050
39.0000,0.0046
40.0000,0.4891
41.0000,0.0034
42.0000,0.0012
43.0000,0.0027
44.0000,0.0016
45.0000,0.0037
46.0000,0.0127
47.0000,0.0011
48.0000,0.0078
49.0000,0.0018
50.0000,0.1703
51.0000,0.0083
52.0000,0.0074
53.0000,0.0019
54.0000,0.0059
55.0000,0.0013
56.0000,0.0319
57.0000,0.0015
58.0000,0.0005
59.0000,0.0010
60.0000,0.0672
61.0000,0.0007
62.0000,0.0038
63.0000,0.0104
64.0000,0.0207
65.0000,0.0085
66.0000,0.0084
67.0000,0.0069
68.0000,0.0025
69.0000,0.0290
70.0000,0.0343
71.0000,0.0165
72.0000,0.0188
73.0000,0.0020
74.0000,0.0029
75.0000,0.0030
76.0000,0.0201
77.0000,0.0029
78.0000,0.0008
79.0000,0.0034
80.0000,0.1182
81.0000,0.0136
82.0000,0.0045
83.0000,0.0064
84.0000,0.0018
85.0000,0.0043
86.0000,0.0007
87.0000,0.0070
88.0000,0.0042
89.0000,0.0014
90.0000,0.0328
91.0000,0.0021
92.0000,0.0013
93.0000,0.0004
94.0000,0.0026
95.0000,0.0017
96.0000,0.0018
97.0000,0.0057
98.0000,0.0013
99.0000,0.0037
