client,round,loss
1,0,1.937
1,1,2.664
1,2,2.586
1,3,2.376
1,4,2.49
1,5,2.388
1,6,2.13
1,7,2.541
1,8,2.345
1,9,2.446
1,10,2.466
1,11,2.251
1,12,2.114
1,13,1.88
1,14,1.83
1,15,1.788
1,16,1.505
1,17,1.669
1,18,1.5
1,19,1.566
1,20,1.527
1,21,1.495
1,22,1.998
1,23,1.808
1,24,1.561
1,25,1.591
1,26,1.438
1,27,1.379
1,28,1.376
1,29,1.633
1,30,1.966
1,31,1.942
1,32,1.652
1,33,1.297
1,34,1.073
1,35,0.882
1,36,0.855
1,37,0.819
1,38,0.792
1,39,0.869
1,40,1.161
1,41,1.255
1,42,1.605
1,43,1.321
1,44,1.348
1,45,1.139
1,46,1.027
1,47,1.259
1,48,1.042
1,49,0.898
1,50,0.891
1,51,0.723
1,52,0.754
1,53,0.881
1,54,0.971
1,55,1.205
1,56,0.974
1,57,0.94
1,58,0.862
1,59,0.844
1,60,0.827
1,61,0.827
1,62,0.849
1,63,0.849
1,64,0.797
1,65,0.825
1,66,0.811
1,67,0.833
1,68,0.981
1,69,1.086
1,70,0.951
1,71,0.723
1,72,0.573
1,73,0.575
1,74,0.568
1,75,0.56
1,76,0.63
1,77,0.58
1,78,0.695
1,79,0.952
1,80,0.858
1,81,0.874
1,82,0.712
1,83,0.558
1,84,0.47
1,85,0.501
1,86,0.684
1,87,0.74
1,88,0.494
1,89,0.519
1,90,0.459
1,91,0.562
1,92,0.484
1,93,0.436
1,94,0.521
1,95,0.466
1,96,0.665
1,97,0.818
1,98,0.895
1,99,0.874
