round,cosine_ensemble_sim
1.0000,0.2402
2.0000,0.2322
3.0000,0.4477
4.0000,0.3777
5.0000,0.4935
6.0000,0.5101
7.0000,0.3998
8.0000,0.5090
9.0000,0.3775
10.0000,0.2852
11.0000,0.2469
12.0000,0.2786
13.0000,0.4891
14.0000,0.5840
15.0000,0.6412
16.0000,0.6289
17.0000,0.5408
18.0000,0.3878
19.0000,0.3242
20.0000,0.3192
21.0000,0.2917
22.0000,0.2892
23.0000,0.1240
24.0000,0.1995
25.0000,0.2620
26.0000,0.4365
27.0000,0.4446
28.0000,0.3274
29.0000,0.2263
30.0000,0.0982
31.0000,0.0806
32.0000,0.2059
33.0000,0.4095
34.0000,0.5399
35.0000,0.6060
36.0000,0.6217
37.0000,0.6326
38.0000,0.6242
39.0000,0.5714
40.0000,0.4733
41.0000,0.3093
42.0000,0.1452
43.0000,0.2079
44.0000,0.2023
45.0000,0.3683
46.0000,0.3641
47.0000,0.2216
48.0000,0.3506
49.0000,0.3795
50.0000,0.5148
51.0000,0.6011
52.0000,0.5496
53.0000,0.4127
54.0000,0.2445
55.0000,0.1316
56.0000,0.2192
57.0000,0.2809
58.0000,0.2802
59.0000,0.2560
60.0000,0.1202
61.0000,0.0919
62.0000,0.1032
63.0000,0.2174
64.0000,0.2471
65.0000,0.2608
66.0000,0.2319
67.0000,0.1012
68.0000,0.0838
69.0000,0.0815
70.0000,0.2059
71.0000,0.3721
72.0000,0.5243
73.0000,0.5308
74.0000,0.5249
75.0000,0.5135
76.0000,0.4504
77.0000,0.4429
78.0000,0.3097
79.0000,0.1170
80.0000,0.0504
81.0000,0.0497
82.0000,0.1441
83.0000,0.3313
84.0000,0.4782
85.0000,0.4919
86.0000,0.3717
87.0000,0.3664
88.0000,0.3614
89.0000,0.3614
90.0000,0.4906
91.0000,0.4145
92.0000,0.4078
93.0000,0.5465
94.0000,0.4416
95.0000,0.3809
96.0000,0.2111
97.0000,0.0925
98.0000,0.0708
99.0000,0.0514
