timestamp,dataset,rank1,mAP,loss
2025-07-29 21:15:46,0,0.7143,0.4448,0.0000
2025-07-29 21:16:01,1,0.5000,0.4203,0.0000
2025-07-29 21:16:17,2,0.7143,0.4726,0.0000
2025-07-29 21:18:49,0,0.8571,0.6088,0.0000
2025-07-29 21:19:04,1,0.2857,0.2736,0.0000
2025-07-29 21:19:19,2,0.8571,0.5887,0.0000
2025-07-29 21:21:05,0,0.9286,0.6589,0.0000
2025-07-29 21:21:20,1,0.5000,0.4374,0.0000
2025-07-29 21:21:35,2,0.8571,0.5705,0.0000
2025-07-29 21:23:21,0,1.0000,0.8049,0.0000
2025-07-29 21:23:36,1,0.7143,0.4455,0.0000
2025-07-29 21:23:52,2,1.0000,0.7042,0.0000
2025-07-29 21:25:40,0,1.0000,0.7958,0.0000
2025-07-29 21:25:55,1,0.5000,0.4096,0.0000
2025-07-29 21:26:11,2,1.0000,0.7119,0.0000
2025-07-29 21:27:59,0,0.5714,0.3993,0.0000
2025-07-29 21:28:15,1,0.7857,0.6003,0.0000
2025-07-29 21:28:30,2,0.4286,0.3536,0.0000
2025-07-29 21:32:23,0,1.0000,0.8262,0.0000
2025-07-29 21:32:38,1,0.7857,0.5945,0.0000
2025-07-29 21:32:53,2,1.0000,0.7317,0.0000
2025-07-29 21:34:43,0,0.7857,0.4385,0.0000
2025-07-29 21:34:58,1,0.7857,0.5792,0.0000
2025-07-29 21:35:14,2,0.7143,0.3733,0.0000
2025-07-29 21:37:00,0,1.0000,0.8455,0.0000
2025-07-29 21:37:16,1,0.7857,0.5606,0.0000
2025-07-29 21:37:31,2,0.9286,0.6957,0.0000
2025-07-29 21:39:18,0,0.7857,0.4393,0.0000
2025-07-29 21:39:33,1,0.7143,0.5518,0.0000
2025-07-29 21:39:48,2,0.6429,0.3617,0.0000
2025-07-29 21:41:34,0,0.7143,0.4548,0.0000
2025-07-29 21:41:49,1,0.9286,0.6553,0.0000
2025-07-29 21:42:04,2,0.6429,0.3197,0.0000
