client,round,loss
1,0,2.079
1,1,2.064
1,2,2.054
1,3,2.036
1,4,2.009
1,5,2.015
1,6,1.995
1,7,1.987
1,8,1.974
1,9,1.968
1,10,1.957
1,11,1.952
1,12,1.926
1,13,1.937
1,14,1.902
1,15,1.901
1,16,1.88
1,17,1.863
1,18,1.837
1,19,1.848
1,20,1.854
1,21,1.848
1,22,1.833
1,23,1.824
1,24,1.808
1,25,1.773
1,26,1.827
1,27,1.77
1,28,1.758
1,29,1.749
1,30,1.747
1,31,1.691
1,32,1.71
1,33,1.691
1,34,1.658
1,35,1.673
1,36,1.696
1,37,1.69
1,38,1.648
1,39,1.664
1,40,1.663
1,41,1.608
1,42,1.608
1,43,1.611
1,44,1.616
1,45,1.621
1,46,1.648
1,47,1.583
1,48,1.572
1,49,1.538
1,50,1.556
1,51,1.49
1,52,1.55
1,53,1.519
1,54,1.551
1,55,1.58
1,56,1.519
1,57,1.437
1,58,1.506
1,59,1.486
1,60,1.411
1,61,1.463
1,62,1.434
1,63,1.486
1,64,1.433
1,65,1.436
1,66,1.426
1,67,1.412
1,68,1.328
1,69,1.398
1,70,1.402
1,71,1.31
1,72,1.294
1,73,1.362
1,74,1.29
1,75,1.311
1,76,1.333
1,77,1.315
1,78,1.329
1,79,1.273
1,80,1.337
1,81,1.278
1,82,1.325
1,83,1.312
1,84,1.235
1,85,1.25
1,86,1.343
1,87,1.193
1,88,1.275
1,89,1.224
1,90,1.319
1,91,1.23
1,92,1.134
1,93,1.174
1,94,1.235
1,95,1.226
1,96,1.114
1,97,1.19
1,98,1.146
1,99,1.14
