round,cosine_sim
0.0000,0.5148
1.0000,0.5439
2.0000,0.0020
3.0000,0.0005
4.0000,0.0012
5.0000,0.0050
6.0000,0.0023
7.0000,0.0084
8.0000,0.0041
9.0000,0.0032
10.0000,0.6374
11.0000,0.0058
12.0000,0.0048
13.0000,0.0034
14.0000,0.0070
15.0000,0.0049
16.0000,0.0054
17.0000,0.0044
18.0000,0.0040
19.0000,0.0033
20.0000,0.4888
21.0000,0.0047
22.0000,0.0051
23.0000,0.0042
24.0000,0.0050
25.0000,0.0049
26.0000,0.0059
27.0000,0.0088
28.0000,0.0069
29.0000,0.0066
30.0000,0.5762
31.0000,0.0075
32.0000,0.0070
33.0000,0.0072
34.0000,0.0101
35.0000,0.0071
36.0000,0.0058
37.0000,0.0084
38.0000,0.0085
39.0000,0.0060
40.0000,0.5703
41.0000,0.0046
42.0000,0.0062
43.0000,0.0103
44.0000,0.0093
45.0000,0.0064
46.0000,0.0062
47.0000,0.0054
48.0000,0.0074
49.0000,0.0061
50.0000,0.0487
51.0000,0.0073
52.0000,0.0051
53.0000,0.0059
54.0000,0.0058
55.0000,0.0042
56.0000,0.0029
57.0000,0.0066
58.0000,0.0039
59.0000,0.0068
60.0000,0.5657
61.0000,0.0095
62.0000,0.0067
63.0000,0.0037
64.0000,0.0050
65.0000,0.0048
66.0000,0.0046
67.0000,0.0046
68.0000,0.0052
69.0000,0.0065
70.0000,0.1405
71.0000,0.0052
72.0000,0.0038
73.0000,0.0067
74.0000,0.0033
75.0000,0.0069
76.0000,0.0053
77.0000,0.0047
78.0000,0.0040
79.0000,0.0028
80.0000,0.5287
81.0000,0.0042
82.0000,0.0049
83.0000,0.0039
84.0000,0.0034
85.0000,0.0100
86.0000,0.0033
87.0000,0.0058
88.0000,0.0027
89.0000,0.0033
90.0000,0.1212
91.0000,0.0066
92.0000,0.0027
93.0000,0.0045
94.0000,0.0063
95.0000,0.0039
96.0000,0.0043
97.0000,0.0049
98.0000,0.0042
99.0000,0.0035
