timestamp,dataset,rank1,mAP,loss
2025-07-17 08:28:40,0,0.5000,0.3964,0.0000
2025-07-17 08:29:06,1,0.5000,0.4707,0.0000
2025-07-17 08:29:33,2,0.6333,0.4583,0.0000
2025-07-17 08:29:59,3,0.2500,0.1693,0.0000
2025-07-17 09:16:46,0,0.5000,0.4793,0.0000
2025-07-17 09:17:12,1,0.5000,0.5111,0.0000
2025-07-17 09:17:38,2,0.6333,0.5173,0.0000
2025-07-17 09:18:04,3,0.2500,0.1429,0.0000
2025-07-17 10:03:13,0,0.5000,0.4476,0.0000
2025-07-17 10:03:38,1,0.5000,0.4931,0.0000
2025-07-17 10:04:04,2,0.6333,0.5152,0.0000
2025-07-17 10:04:31,3,0.2500,0.1589,0.0000
2025-07-17 10:49:41,0,0.5000,0.4494,0.0000
2025-07-17 10:50:07,1,0.5000,0.4995,0.0000
2025-07-17 10:50:34,2,0.6333,0.5172,0.0000
2025-07-17 10:51:00,3,0.2500,0.1543,0.0000
2025-07-17 11:36:08,0,0.5000,0.4654,0.0000
2025-07-17 11:36:33,1,0.5000,0.5069,0.0000
2025-07-17 11:37:00,2,0.6333,0.4990,0.0000
2025-07-17 11:37:27,3,0.2500,0.1536,0.0000
