client,round,loss
2,0,1.381
2,1,1.126
2,2,0.837
2,3,0.67
2,4,0.487
2,5,0.495
2,6,0.357
2,7,0.296
2,8,0.277
2,9,0.26
2,10,0.276
2,11,0.231
2,12,0.215
2,13,0.129
2,14,0.13
2,15,0.093
2,16,0.137
2,17,0.149
2,18,0.192
2,19,0.167
2,20,0.197
2,21,0.197
2,22,0.184
2,23,0.151
2,24,0.088
2,25,0.128
2,26,0.111
2,27,0.188
2,28,0.121
2,29,0.117
2,30,0.104
2,31,0.13
2,32,0.117
2,33,0.105
2,34,0.072
2,35,0.058
2,36,0.053
2,37,0.086
2,38,0.156
2,39,0.16
2,40,0.167
2,41,0.168
2,42,0.241
2,43,0.254
2,44,0.265
2,45,0.083
2,46,0.059
2,47,0.036
2,48,0.036
