timestamp,dataset,rank1,mAP,valid_queries,loss
2025-07-17 08:28:40,0,0.0000,0.1568,19,0.0000
2025-07-17 08:29:06,1,0.0000,0.1276,30,0.0000
2025-07-17 08:29:33,2,0.3333,0.2637,24,0.0000
2025-07-17 08:29:59,3,0.0000,0.1612,6,0.0000
2025-07-17 09:16:46,0,0.0000,0.1739,19,0.0000
2025-07-17 09:17:12,1,0.0000,0.1216,30,0.0000
2025-07-17 09:17:38,2,0.3333,0.2958,24,0.0000
2025-07-17 09:18:04,3,0.0000,0.1517,6,0.0000
2025-07-17 10:03:13,0,0.0000,0.1808,19,0.0000
2025-07-17 10:03:38,1,0.0000,0.1173,30,0.0000
2025-07-17 10:04:04,2,0.3333,0.2875,24,0.0000
2025-07-17 10:04:31,3,0.0000,0.1487,6,0.0000
2025-07-17 10:49:41,0,0.0000,0.1810,19,0.0000
2025-07-17 10:50:07,1,0.0000,0.1201,30,0.0000
2025-07-17 10:50:34,2,0.3333,0.2932,24,0.0000
2025-07-17 10:51:00,3,0.0000,0.1539,6,0.0000
2025-07-17 11:36:08,0,0.0000,0.1918,19,0.0000
2025-07-17 11:36:34,1,0.0000,0.1303,30,0.0000
2025-07-17 11:37:00,2,0.3333,0.2812,24,0.0000
2025-07-17 11:37:27,3,0.0000,0.1611,6,0.0000
