timestamp,dataset,rank1,mAP,loss
2025-07-17 08:12:29,0,0.5000,0.3964,0.0000
2025-07-17 08:12:54,1,0.5000,0.4707,0.0000
2025-07-17 08:13:21,2,0.6333,0.4583,0.0000
2025-07-17 08:13:48,3,0.2500,0.1693,0.0000
2025-07-17 09:00:33,0,0.5000,0.4814,0.0000
2025-07-17 09:00:59,1,0.5000,0.5111,0.0000
2025-07-17 09:01:26,2,0.6333,0.5143,0.0000
2025-07-17 09:01:52,3,0.2500,0.1486,0.0000
2025-07-17 09:46:27,0,0.5000,0.4425,0.0000
2025-07-17 09:46:53,1,0.5000,0.5025,0.0000
2025-07-17 09:47:20,2,0.6333,0.5222,0.0000
2025-07-17 09:47:47,3,0.2500,0.1613,0.0000
2025-07-17 10:32:14,0,0.5000,0.4520,0.0000
2025-07-17 10:32:40,1,0.5000,0.5107,0.0000
2025-07-17 10:33:06,2,0.6333,0.5186,0.0000
2025-07-17 10:33:33,3,0.2500,0.1577,0.0000
2025-07-17 11:18:09,0,0.5000,0.4917,0.0000
2025-07-17 11:18:35,1,0.5000,0.5164,0.0000
2025-07-17 11:19:01,2,0.6333,0.5068,0.0000
2025-07-17 11:19:28,3,0.2500,0.1645,0.0000
2025-07-17 12:03:59,0,0.5000,0.4466,0.0000
2025-07-17 12:04:27,1,0.5000,0.5067,0.0000
2025-07-17 12:04:53,2,0.6333,0.5168,0.0000
2025-07-17 12:05:20,3,0.2500,0.1593,0.0000
