client,round,loss
0,0,2.794
0,1,1.539
0,2,1.125
0,3,0.853
0,4,0.668
0,5,0.544
0,6,0.433
0,7,0.344
0,8,0.278
0,9,0.243
0,10,0.205
0,11,0.155
0,12,0.152
0,13,0.112
0,14,0.097
0,15,0.092
0,16,0.081
0,17,0.068
0,18,0.065
0,19,0.062
0,20,0.053
0,21,0.05
0,22,0.045
0,23,0.048
0,24,0.041
0,25,0.039
0,26,0.039
0,27,0.033
0,28,0.032
0,29,0.031
0,30,0.031
0,31,0.032
0,32,0.025
0,33,0.027
0,34,0.024
0,35,0.024
0,36,0.027
0,37,0.026
0,38,0.025
0,39,0.027
0,40,0.026
0,41,0.022
0,42,0.022
0,43,0.02
0,44,0.024
0,45,0.02
0,46,0.019
0,47,0.025
0,48,0.02
0,49,0.017
0,50,0.017
0,51,0.017
0,52,0.017
